Região - Sigla;Estado - Sigla;Município;Revenda;CNPJ da Revenda;Nome da Rua;Número Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;MARACANAU;POSTO BOTO LTDA; 03.020.995/0001-40;AVENIDA PADRE JOSE HOLANDA DO VALE;809;;PIRATININGA;61905-000;GLP;01/07/2021;89,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;SC;JARAGUA DO SUL;POSTO CIDADE LTDA; 81.352.882/0004-07;RUA WALTER MARQUARDT;2555;;BARRA DO RIO MOLHA;89259-700;GLP;01/07/2021;86,9;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;MA;SAO JOSE DE RIBAMAR;POSTO ATLANTICO SUL LTDA; 04.034.035/0001-00;RODOVIA MA  203;20;K M;ARACAGY;65110-000;GLP;01/07/2021;89,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;BIRIGUI;AUTO POSTO SCUCUGLIA E OLIVEIRA LTDA; 00.226.807/0001-47;RUA CONSOLACAO;140;;PARQUE R PINHEIROS;16203-031;GLP;01/07/2021;85;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;GARCA;AUTO POSTO RANELI GARCA LTDA; 72.812.795/0001-43;RUA BASILIO SELANI;45;;VILA JOSE RIBEIRO;17400-000;GLP;01/07/2021;100;;R$ / 13 kg;LIQUIGÁS
NE;PB;JOAO PESSOA;COMÉRCIO DE GÁS MANDACARU LTDA; 00.698.039/0001-24;RUA JOÃO DE BRITO L. MOURA;65;;MANDACARU;58027-070;GLP;01/07/2021;95;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;SANTANA DO LIVRAMENTO;IRMÃOS RIBEIRO BÊNIA LTDA.; 01.550.635/0002-06;AVENIDA PAUL  HARRIS;262;;CENTRO;97574-360;GLP;01/07/2021;84;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;MARINGA;VALTER ORCEZE & CIA LTDA; 01.769.471/0001-21;AVENIDA DR. ALEXANDRE RASGULAEFF;3389;;CIDADE NOVA;87023-060;GLP;01/07/2021;95;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;LIMEIRA;FABIO JOSE  DOS SANTOS LIMEIRA ME; 01.840.071/0001-65;AVENIDA ARMANDO PACHECO BARROS;410;;JD. SÃO JOÃO;13482-117;GLP;01/07/2021;87;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;RIT COMERCIO DE GAS GLP LTDA; 01.949.949/0004-48;RUA JERONIMO VILELA;773;;CAMPO GRANDE;52040-180;GLP;01/07/2021;80;;R$ / 13 kg;LIQUIGÁS
S;RS;CANOAS;POSTO DE GÁS CAIRU LTDA.; 02.229.975/0001-11;RUA CAIRU;496;;RIO BRANCO;92200-020;GLP;01/07/2021;79,99;;R$ / 13 kg;LIQUIGÁS
S;RS;CANOAS;NICOLI COMERCIO DE GAS LTDA.; 02.308.745/0001-48;RUA CRISTOVAO COLOMBO;497;;NITEROI;92110-450;GLP;01/07/2021;90;;R$ / 13 kg;LIQUIGÁS
S;RS;CANOAS;EVA TEREZA DA SILVA; 02.379.025/0001-73;RUA FERNANDO FERRARI;1140;;NITERÓI;92130-000;GLP;01/07/2021;87;;R$ / 13 kg;LIQUIGÁS
S;PR;APUCARANA;PAULO GAS COMERCIO DE GAS LTDA; 02.381.957/0001-50;RUA   CHILE;43;;JARDIM DIAMANTINA;86804-090;GLP;01/07/2021;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;ITAPETININGA;PIKE - COMERCIO DE GAS LTDA; 02.503.579/0001-30;RUA BENEDITO PEREIRA INACIO;131;;VILA DEYSE;18210-310;GLP;01/07/2021;92;;R$ / 13 kg;ULTRAGAZ
NE;CE;MARACANAU;COMERCIAL DE GAS SILVEIRA SAO FRANCISCO LTDA - EPP; 02.635.912/0001-65;RUA  ALENCAR CESAR;56;;SIQUEIRA II;61901-410;GLP;01/07/2021;98;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;SAPUCAIA DO SUL;ANGELICA BARTH KRINDGES; 02.920.976/0001-08;RUA SENADOR LUCIO BITENCOURT;254;;CENTRO;93214-170;GLP;01/07/2021;89;;R$ / 13 kg;LIQUIGÁS
SE;SP;LIMEIRA;IVANI AGUIAR BARBOSA M.E.; 03.005.100/0001-07;AVENIDA LUIZ CAVINATTO;445;455;JARDIM IBIRAPUERA;13481-045;GLP;01/07/2021;85;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;BARRA MANSA;MARINA F. SOUZA DISTRIB. DE GAS ME; 03.372.485/0001-32;AV. ORLANDO BRANDAO;546;;ANO BOM;27325-270;GLP;01/07/2021;92;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CASCAVEL;CASA DO GAS EIRELI; 03.419.746/0001-22;RUA THEOFANIO MALTEZO;784;;CANCELLI;85811-480;GLP;01/07/2021;92;;R$ / 13 kg;LIQUIGÁS
S;PR;MARINGA;KARINGAS COMERCIO DE GAS LTDA; 03.468.193/0001-06;AVENIDA KAKOGAWA;761;;PQ. RESIDENCIAL QUEBEC;87025-000;GLP;01/07/2021;105;;R$ / 13 kg;LIQUIGÁS
NE;PE;RECIFE;JOSE EDSON MESQUITA DA SILVA ME; 04.018.229/0001-04;AVENIDA PROFESSOR JOSE DOS ANJOS;246;;ARRUDA;52120-100;GLP;01/07/2021;82;;R$ / 13 kg;BRANCA
